PARLAMENTARIO_ID;NOMBRE_COMPLETO;VIGENTE;FECHA_NACIMIENTO;GENERO;SITIOS_WEB;CAMARA_ACTUAL;CAMARA;INICIO;FINAL;PARTIDO_POLITICO;UNIDAD_QUE_REPRESENTA
5231;Andres Jouannet Valderrama;1;1967-07-29;M;;C.Diputados;C. Diputados;2022;2026;Movimiento Amarillos por Chile;23er Distrito
4569;Luciano Cruz-Coke Carvallo;1;1970-07-01;M;;Senado;Senado;2022;2030;Partido Evolución Política (Evópoli);7ª Circunscripción
4596;Camila Rojas Valderrama;1;1991-03-11;F;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;7º Distrito
4632;Tomas Hirsch Goldschmidt;1;1956-07-19;M;;C.Diputados;C. Diputados;2022;2026;Partido Acción Humanista;11° Distrito
4618;Ximena Ossandon Irarrazabal;1;1963-12-13;F;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;12° Distrito
5188;Yovana Ahumada Palma;1;1973-12-24;F;;C.Diputados;C. Diputados;2022;2026;;3er Distrito
4539;Loreto Carvajal Ambiado;1;1973-05-18;F;;Senado;Senado;2022;2030;Partido por la Democracia;16ª Circunscripción
5273;Andres Giordano Salazar;1;1986-12-29;M;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;9° Distrito
4592;Ximena Ordenes Neira;1;1973-03-09;F;;Senado;Senado;2018;2026;;14ª Circunscripción
2362;Ximena Cecilia Rincon Gonzalez;1;1967-07-05;F;;Senado;Senado;2018;2026;;9ª Circunscripción
1778;Juan Antonio Coloma Correa;1;1956-07-15;M;;Senado;Senado;2018;2026;Partido Unión Demócrata Independiente;9ª Circunscripción
4543;Juan Antonio Coloma Alamos;1;1980-03-14;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;14° Distrito
5221;Lorena Pizarro Sierra;1;1966-02-14;F;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;13er Distrito
5255;Jorge Guzman Zepeda;1;1985-06-11;M;;C.Diputados;C. Diputados;2022;2026;Partido Evolución Política (Evópoli);17° Distrito
4588;Juan Enrique Castro Prieto;1;1959-11-01;M;;Senado;Senado;2018;2026;Partido Social Cristiano;9ª Circunscripción
5258;Sara Concha Smith;1;1995-09-09;F;;C.Diputados;C. Diputados;2022;2026;Partido Social Cristiano;19° Distrito
4506;Jorge Rathgeb Schifferli;1;1967-12-28;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;22° Distrito
4568;Juan Fuenzalida Cobo;1;1973-07-01;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;5º Distrito
5224;Tomas Lagomarsino Guzman;1;1990-07-13;M;;C.Diputados;C. Diputados;2022;2026;;
5264;Lorena Fries Monleon;1;1960-04-01;F;;C.Diputados;C. Diputados;2022;2026;Partido Frente Amplio;10° Distrito
4323;Yasna Provoste Campillay;1;1969-12-16;F;;Senado;Senado;2018;2026;Partido Demócrata Cristiano;4ª Circunscripción
5250;Agustin Matias Romero Leiva;1;1975-01-03;M;;C.Diputados;C. Diputados;2022;2026;Partido Republicano de Chile;8° Distrito
5249;Carla Morales Maldonado ;1;1977-10-27;F;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;16° Distrito
5237;Juan Beltran Silva;1;1962-12-19;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;22º Distrito
4558;Alvaro Carter Fernandez;1;1980-10-09;M;;C.Diputados;C. Diputados;2022;2026;;12° Distrito
